"Date","Workout Name","Exercise Name","Set Order","Weight","Reps","Distance","Seconds","Notes","Workout Notes","RPE"
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Barbell Row",6,115,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Barbell Row",5,115,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Barbell Row",4,115,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Deadlift (Barbell)",3,135,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Deadlift (Barbell)",2,135,6,0,0,"","",""
"2018-04-14 15:44:11","BLS P1 5 Back Calves","Deadlift (Barbell)",1,135,6,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Air Bicycles",18,0,0,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",17,0,0,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Cable Crunch",16,0,0,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Air Bicycles",15,153,10,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",14,153,15,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Cable Crunch",13,180,10,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Air Bicycles",12,153,25,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",11,153,20,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Cable Crunch",10,180,10,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",9,50,8,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",8,50,8,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",7,50,6,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Side Lateral Raise",6,45,12,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Side Lateral Raise",5,45,12,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Side Lateral Raise",4,45,12,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Seated Military Press",3,180,5,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Seated Military Press",2,180,5,0,0,"","",""
"2018-04-16 17:02:33","BLS P1 5 Shoulders Abs","Seated Military Press",1,180,5,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",14,250,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",13,250,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",12,250,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",11,250,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",10,230,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Calf Raise On The Leg Press",9,230,12,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Romanian Deadlift",8,155,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Romanian Deadlift",7,135,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Romanian Deadlift",6,135,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Leg Press",5,410,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Leg Press",4,410,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Squat (Barbell)",3,95,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Squat (Barbell)",2,95,6,0,0,"","",""
"2018-04-18 16:31:16","BLS P1 5 Legs","Squat (Barbell)",1,95,6,0,0,"","",""
"2018-04-19 09:52:38","BLS P1 5 Upper Body Abs","Air Bicycles",24,152,15,0,0,"","",""
"2018-04-19 09:52:38","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",23,152,15,0,0,"","",""
